**************************************************************************************************************


SPECIES :  I^+ / I2
PROCESS:  I^+ + I2 -> I + I2^+, CHARGE_EXCHANGE
PARAM.:   delta E = -1.14
COMMENT:  fit from data of figure 5 in Hause et al (2015) in the center of mass, exothermic reaction 1.14 eV
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 4.145888e+01    1.409720e-19
 4.213322e+01    1.406426e-19
 4.281852e+01    1.403133e-19
 4.351497e+01    1.399840e-19
 4.422274e+01    1.396547e-19
 4.494203e+01    1.393253e-19
 4.567301e+01    1.389960e-19
 4.641589e+01    1.386667e-19
 4.717085e+01    1.383373e-19
 4.793808e+01    1.380080e-19
 4.871780e+01    1.376787e-19
 4.951020e+01    1.373493e-19
 5.031549e+01    1.370200e-19
 5.113388e+01    1.366907e-19
 5.196557e+01    1.363614e-19
 5.281080e+01    1.360320e-19
 5.366977e+01    1.357027e-19
 5.454271e+01    1.353734e-19
 5.542986e+01    1.350440e-19
 5.633143e+01    1.347147e-19
 5.724766e+01    1.343854e-19
 5.817880e+01    1.340561e-19
 5.912508e+01    1.337267e-19
 6.008676e+01    1.333974e-19
 6.106408e+01    1.330681e-19
 6.205729e+01    1.327387e-19
 6.306666e+01    1.324094e-19
 6.409244e+01    1.320801e-19
 6.513491e+01    1.317508e-19
 6.619433e+01    1.314214e-19
 6.727099e+01    1.310921e-19
 6.836516e+01    1.307628e-19
 6.947713e+01    1.304334e-19
 7.060718e+01    1.301041e-19
 7.175561e+01    1.297748e-19
 7.292272e+01    1.294454e-19
 7.410882e+01    1.291161e-19
 7.531420e+01    1.287868e-19
 7.653919e+01    1.284575e-19
 7.778411e+01    1.281281e-19
 7.904928e+01    1.277988e-19
 8.033502e+01    1.274695e-19
 8.164168e+01    1.271401e-19
 8.296959e+01    1.268108e-19
 8.431909e+01    1.264815e-19
 8.569055e+01    1.261522e-19
 8.708431e+01    1.258228e-19
 8.850075e+01    1.254935e-19
 8.994022e+01    1.251642e-19
 9.140311e+01    1.248348e-19
 9.288979e+01    1.245055e-19
 9.440065e+01    1.241762e-19
 9.593608e+01    1.238468e-19
 9.749649e+01    1.235175e-19
 9.908228e+01    1.231882e-19
 1.006939e+02    1.228589e-19
 1.023317e+02    1.225295e-19
 1.039961e+02    1.222002e-19
 1.056876e+02    1.218709e-19
 1.074066e+02    1.215415e-19
 1.091536e+02    1.212122e-19
 1.109290e+02    1.208829e-19
 1.127333e+02    1.205536e-19
 1.145669e+02    1.202242e-19
 1.164303e+02    1.198949e-19
 1.183241e+02    1.195656e-19
 1.202486e+02    1.192362e-19
 1.222045e+02    1.189069e-19
 1.241921e+02    1.185776e-19
 1.262121e+02    1.182482e-19
 1.282650e+02    1.179189e-19
 1.303512e+02    1.175896e-19
 1.324714e+02    1.172603e-19
 1.346261e+02    1.169309e-19
 1.368158e+02    1.166016e-19
 1.390411e+02    1.162723e-19
 1.413026e+02    1.159429e-19
 1.436009e+02    1.156136e-19
 1.459366e+02    1.152843e-19
 1.483103e+02    1.149550e-19
 1.507225e+02    1.146256e-19
 1.531740e+02    1.142963e-19
 1.556654e+02    1.139670e-19
 1.581973e+02    1.136376e-19
 1.607704e+02    1.133083e-19
 1.633854e+02    1.129790e-19
 1.660429e+02    1.126496e-19
 1.687436e+02    1.123203e-19
 1.714882e+02    1.119910e-19
 1.742775e+02    1.116617e-19
 1.771121e+02    1.113323e-19
 1.799929e+02    1.110030e-19
 1.829205e+02    1.106737e-19
 1.858957e+02    1.103443e-19
 1.889193e+02    1.100150e-19
 1.919921e+02    1.096857e-19
 1.951148e+02    1.093564e-19
 1.982884e+02    1.090270e-19
 2.015136e+02    1.086977e-19
 2.047912e+02    1.083684e-19
 2.081222e+02    1.080390e-19
 2.115073e+02    1.077097e-19
 2.149475e+02    1.073804e-19
 2.184436e+02    1.070511e-19
 2.219966e+02    1.067217e-19
 2.256074e+02    1.063924e-19
 2.292769e+02    1.060631e-19
 2.330061e+02    1.057337e-19
 2.367960e+02    1.054044e-19
 2.406475e+02    1.050751e-19
 2.445617e+02    1.047457e-19
 2.485395e+02    1.044164e-19
 2.525820e+02    1.040871e-19
