**************************************************************************************************************


SPECIES :  I_2^+ / I2
PROCESS:  I_2^+ + I2 -> I_2 + I2^+, Backscat
PARAM.:   delta E = 0.00
COMMENT:  fit from fig 2 in Hause et al (2015) in the center of mass, overestimated as a small contribution from fragmentation is included
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.256317e+01    6.370270e-19
 1.276751e+01    6.368168e-19
 1.297517e+01    6.366066e-19
 1.318621e+01    6.363964e-19
 1.340069e+01    6.361862e-19
 1.361865e+01    6.359760e-19
 1.384016e+01    6.357658e-19
 1.406527e+01    6.355556e-19
 1.429405e+01    6.353453e-19
 1.452654e+01    6.351351e-19
 1.476281e+01    6.349249e-19
 1.500293e+01    6.347147e-19
 1.524696e+01    6.345045e-19
 1.549495e+01    6.342943e-19
 1.574698e+01    6.340841e-19
 1.600310e+01    6.338739e-19
 1.626340e+01    6.336637e-19
 1.652792e+01    6.334535e-19
 1.679675e+01    6.332432e-19
 1.706995e+01    6.330330e-19
 1.734759e+01    6.328228e-19
 1.762975e+01    6.326126e-19
 1.791650e+01    6.324024e-19
 1.820792e+01    6.321922e-19
 1.850407e+01    6.319820e-19
 1.880504e+01    6.317718e-19
 1.911091e+01    6.315616e-19
 1.942175e+01    6.313514e-19
 1.973764e+01    6.311411e-19
 2.005868e+01    6.309309e-19
 2.038493e+01    6.307207e-19
 2.071650e+01    6.305105e-19
 2.105345e+01    6.303003e-19
 2.139589e+01    6.300901e-19
 2.174389e+01    6.298799e-19
 2.209756e+01    6.296697e-19
 2.245698e+01    6.294595e-19
 2.282224e+01    6.292492e-19
 2.319345e+01    6.290390e-19
 2.357069e+01    6.288288e-19
 2.395407e+01    6.286186e-19
 2.434369e+01    6.284084e-19
 2.473964e+01    6.281982e-19
 2.514203e+01    6.279880e-19
 2.555097e+01    6.277778e-19
 2.596656e+01    6.275676e-19
 2.638891e+01    6.273574e-19
 2.681813e+01    6.271471e-19
 2.725433e+01    6.269369e-19
 2.769762e+01    6.267267e-19
 2.814812e+01    6.265165e-19
 2.860596e+01    6.263063e-19
 2.907123e+01    6.260961e-19
 2.954408e+01    6.258859e-19
 3.002462e+01    6.256757e-19
 3.051297e+01    6.254655e-19
 3.100927e+01    6.252553e-19
